Age,Income,Credit_Score,Insurance
37,25067,339,0
37,36095,487,0
45,15240,322,0
26,27310,560,0
27,29647,536,0
36,28052,517,0
34,31026,444,0
44,35055,401,0
48,41182,357,0
45,48729,451,0
50,35565,471,0
44,25295,468,0
45,42365,548,0
49,29373,332,0
43,45741,586,0
18,16637,538,0
50,34951,614,0
44,37988,321,0
20,36803,364,0
20,40966,511,0
25,17618,576,0
36,29355,411,0
39,20292,552,0
33,18046,350,0
24,28134,517,0
37,49494,392,0
24,35121,401,0
48,44322,520,0
38,23798,366,0
24,37687,638,0
43,31233,407,0
27,25215,380,0
35,24924,607,0
34,21652,398,0
40,27578,447,0
26,27352,507,0
46,27727,564,0
22,21005,321,0
37,39763,337,0
47,41249,349,0
23,20474,398,0
46,39813,385,0
19,27735,551,0
35,16725,612,0
19,24026,497,0
28,24832,450,0
44,28002,319,0
30,27421,409,0
45,33530,558,0
29,40744,454,0
19,26888,396,0
20,40115,580,0
34,19132,587,0
49,23220,342,0
45,31143,378,0
44,17768,599,0
26,28290,560,0
37,27633,390,0
36,46699,593,0
20,22667,378,0
33,47433,398,0
47,30098,420,0
42,47410,465,0
42,17205,566,0
40,38591,402,0
29,20329,390,0
27,37925,606,0
19,23035,640,0
24,34021,337,0
26,22134,532,0
19,26546,576,0
38,15135,428,0
38,46178,402,0
39,16374,641,0
40,46748,381,0
33,22757,633,0
35,43619,609,0
27,45274,563,0
36,29542,488,0
39,46582,455,0
44,25269,499,0
47,19361,500,0
47,47369,610,0
40,17565,534,0
28,28169,319,0
38,46466,344,0
40,29136,316,0
31,41150,607,0
41,24637,602,0
28,24931,460,0
28,24212,364,0
38,27890,424,0
44,22523,364,0
45,21779,535,0
38,38283,419,0
20,38114,339,0
34,29876,634,0
20,17213,645,0
47,34267,486,0
33,33430,413,0
28,32705,562,0
24,21721,457,0
42,26966,574,0
41,24797,367,0
35,36705,339,0
43,33212,404,0
49,18722,508,0
40,30528,386,0
40,34981,445,0
39,41380,600,0
38,45845,394,0
31,36183,621,0
28,46976,465,0
29,39370,588,0
24,40505,564,0
45,42675,405,0
41,41380,386,0
21,36375,548,0
41,32692,617,0
40,29356,461,0
23,22915,532,0
46,37880,560,0
47,25270,342,0
24,22921,477,0
20,19193,468,0
18,41627,436,0
28,28227,364,0
35,42028,594,0
21,44225,470,0
23,21268,452,0
39,38392,618,0
41,26793,345,0
46,37399,486,0
31,47243,500,0
43,41173,416,0
46,23400,433,0
36,39858,358,0
20,17931,583,0
39,26071,377,0
23,33646,370,0
47,29712,371,0
30,20330,358,0
36,17352,580,0
35,19880,343,0
47,42919,421,0
31,46649,614,0
20,21018,562,0
50,35986,377,0
45,33641,397,0
34,42987,333,0
46,16829,472,0
42,28856,639,0
36,37819,600,0
47,17414,440,0
50,42025,381,0
20,17445,626,0
37,15676,337,0
46,19425,623,0
27,16131,363,0
44,39953,443,0
45,48299,327,0
25,40430,480,0
19,26139,532,0
31,46309,463,0
44,35781,478,0
31,21371,538,0
42,48045,449,0
21,17051,549,0
37,44185,411,0
36,15469,484,0
35,25521,499,0
43,29996,346,0
45,38952,499,0
38,31709,366,0
24,31787,352,0
36,28162,646,0
24,22894,623,0
25,16208,405,0
47,29192,447,0
45,26195,633,0
28,16702,642,0
47,31589,645,0
44,33191,328,0
38,27212,426,0
45,39519,402,0
46,24473,361,0
29,18238,418,0
23,35419,643,0
23,46204,559,0
41,22408,407,0
28,44030,626,0
47,20365,507,0
32,46744,387,0
39,41435,349,0
20,17588,586,0
38,46961,560,0
22,32115,630,0
41,25894,316,0
40,47659,442,0
22,47217,385,0
23,31992,377,0
20,22263,348,0
38,42810,622,0
32,37825,552,0
29,35758,355,0
26,20212,615,0
35,42022,536,0
22,18004,595,0
23,21331,619,0
38,41351,500,0
36,24570,426,0
29,30856,552,0
18,44144,572,0
45,15429,310,0
25,25469,626,0
28,29525,432,0
45,41261,462,0
21,25613,599,0
28,26231,577,0
50,45558,359,0
39,33900,303,0
46,23883,462,0
32,41931,455,0
19,44619,632,0
43,39354,322,0
43,15478,368,0
36,45683,454,0
30,33840,481,0
28,20767,331,0
29,26354,582,0
48,45144,648,0
31,24361,597,0
28,41234,360,0
46,15762,425,0
50,47471,475,0
27,48119,490,0
20,41163,539,0
33,34371,372,0
20,48619,567,0
30,16539,494,0
38,44386,622,0
41,38194,535,0
29,45181,314,0
50,43952,588,0
33,37429,509,0
39,26428,519,0
26,36855,553,0
24,40832,558,0
48,24440,626,0
26,32635,552,0
33,36133,592,0
47,28751,368,0
37,32529,579,0
29,23144,602,0
21,32675,638,0
46,45052,357,0
46,19136,359,0
41,20878,610,0
44,22739,630,0
19,45816,512,0
42,21290,642,0
47,33094,393,0
50,40761,433,0
37,29509,342,0
27,31330,365,0
50,20870,383,0
34,20896,379,0
19,27134,505,0
27,22089,483,0
50,32893,554,0
44,20131,345,0
29,20670,509,0
27,41401,517,0
20,39971,404,0
41,45653,598,0
28,29159,343,0
18,24565,421,0
45,27539,537,0
23,19061,453,0
44,29102,365,0
37,40247,576,0
23,26327,515,0
48,39718,328,0
41,19732,576,0
22,31196,611,0
42,46840,399,0
48,22408,358,0
41,22064,533,0
25,31565,368,0
36,19674,644,0
25,27752,611,0
23,41430,459,0
19,20452,595,0
21,20736,341,0
24,40217,613,0
21,30587,367,0
43,33397,610,0
37,40635,545,0
23,36604,536,0
37,39080,648,0
29,48416,370,0
41,29370,624,0
48,25549,323,0
49,49286,580,0
26,37953,590,0
43,35548,384,0
27,47819,433,0
44,36754,619,0
43,16230,469,0
36,38989,561,0
42,45188,513,0
30,42326,351,0
49,15099,380,0
19,38404,352,0
28,19640,334,0
42,42917,446,0
29,17854,572,0
50,41243,448,0
47,21628,537,0
33,15117,489,0
45,34892,610,0
20,28629,586,0
34,17142,350,0
47,35543,560,0
34,41760,484,0
47,30184,532,0
38,39594,517,0
34,48340,410,0
29,22538,318,0
22,31095,348,0
18,17882,472,0
42,43072,627,0
26,20459,605,0
20,22308,448,0
48,21221,317,0
18,23428,621,0
32,25119,648,0
26,22524,643,0
25,49158,426,0
48,24190,350,0
37,21681,510,0
49,25820,421,0
23,44677,362,0
29,26476,417,0
22,35316,645,0
33,35825,381,0
32,47608,328,0
24,33393,580,0
39,21569,549,0
19,18287,323,0
23,22323,429,0
34,15966,360,0
50,39769,596,0
48,33944,378,0
47,25889,494,0
42,39940,357,0
30,24135,541,0
37,22067,415,0
48,41498,467,0
31,39748,636,0
18,16238,561,0
31,29358,503,0
20,47306,442,0
34,47199,411,0
32,43342,397,0
43,22406,477,0
39,27586,427,0
35,19554,384,0
24,48378,392,0
30,38670,476,0
40,41395,511,0
49,48872,434,0
40,38496,355,0
43,16761,586,0
36,41607,304,0
37,26633,571,0
42,15383,578,0
37,20332,524,0
32,41593,509,0
43,42899,586,0
20,19160,398,0
24,45501,535,0
43,39414,549,0
41,27924,366,0
32,38859,333,0
27,38836,405,0
29,18060,590,0
40,24792,370,0
50,43544,354,0
43,32509,309,0
22,35990,599,0
28,41612,426,0
32,29271,356,0
43,29295,532,0
49,30143,622,0
27,32741,386,0
43,23650,450,0
27,23807,496,0
46,38616,649,0
30,22999,369,0
29,17241,596,0
20,43176,573,0
29,16540,407,0
36,45583,360,0
35,15100,530,0
38,44550,356,0
31,26705,611,0
26,47615,498,0
43,46588,412,0
47,39051,498,0
39,19067,356,0
42,39129,323,0
37,34053,368,0
18,33489,507,0
44,30627,592,0
48,16973,344,0
36,20761,560,0
49,43291,617,0
18,22717,599,0
46,29993,342,0
27,31700,559,0
35,23220,368,0
48,44056,602,0
27,19745,547,0
19,32696,465,0
30,38182,441,0
25,25982,389,0
41,28528,480,0
29,15619,471,0
19,18339,603,0
20,39985,417,0
43,27226,341,0
37,26696,512,0
34,45100,554,0
49,37389,534,0
24,47021,535,0
41,24122,563,0
21,31185,372,0
20,33415,377,0
18,20687,573,0
44,28026,328,0
45,25721,398,0
42,16374,423,0
48,40937,316,0
28,39851,574,0
46,33336,612,0
46,41914,403,0
39,46134,641,0
49,48007,451,0
39,39672,418,0
35,25945,452,0
20,33650,592,0
41,30346,575,0
21,46217,628,0
25,40865,514,0
31,46484,462,0
43,24988,636,0
27,45706,494,0
19,30986,313,0
26,35870,473,0
36,43642,392,0
44,37862,606,0
30,45311,592,0
31,42924,531,0
24,35551,422,0
47,31179,526,0
23,20046,484,0
32,19352,539,0
38,43000,404,0
31,43523,417,0
35,26226,580,0
21,45788,409,0
35,41508,410,0
27,24001,455,0
43,29059,546,0
23,30653,379,0
49,47916,447,0
24,30927,358,0
32,47684,508,0
48,44191,471,0
40,18871,450,0
43,24112,354,0
46,35582,330,0
44,31478,624,0
48,34882,649,0
47,34832,606,0
36,46145,534,0
43,46563,389,0
26,15743,639,0
31,30431,501,0
32,21193,469,0
36,31473,446,0
50,19138,572,0
35,44382,612,0
33,35391,466,0
48,48620,323,0
33,16928,578,0
47,27712,445,0
47,16558,589,0
35,40182,386,0
20,35287,475,0
39,44341,334,0
28,38020,462,0
18,47604,320,0
18,31839,469,0
27,24650,593,0
18,17881,557,0
32,47918,426,0
43,25188,353,0
41,19366,318,0
44,21187,489,0
23,16744,331,0
45,37289,597,0
39,21535,379,0
25,33400,368,0
18,43614,525,0
36,49422,590,0
38,26089,302,0
45,31483,563,0
29,31488,624,0
49,18582,336,0
26,40301,629,0
19,19515,464,0
41,37938,364,0
43,47268,567,0
33,22905,611,0
49,45298,647,0
23,48827,517,0
41,20582,378,0
34,42754,501,0
27,15628,340,0
43,43393,643,0
40,44568,410,0
32,48282,346,0
26,34249,621,0
27,49495,632,0
36,28033,448,0
30,29421,563,0
49,21399,409,0
27,40088,475,0
41,41856,453,0
43,29354,647,0
23,33643,358,0
49,27958,384,0
27,16532,595,0
27,24088,585,0
21,34372,313,0
31,32671,432,0
23,33011,613,0
40,34336,633,0
40,15219,547,0
33,28616,478,0
20,33593,385,0
32,46132,383,0
49,48204,307,0
30,40783,578,0
26,33236,331,0
30,48291,420,0
49,35895,300,0
25,23340,462,0
47,101369,740,1
54,63527,835,1
56,75522,746,1
58,44891,745,1
54,113154,750,1
55,91408,826,1
42,73478,754,1
63,54600,798,1
45,73667,770,1
49,103805,821,1
40,69754,816,1
59,60165,711,1
59,60339,658,1
52,101856,813,1
42,89080,726,1
55,79969,803,1
69,100029,830,1
40,83125,745,1
55,112661,707,1
64,60586,759,1
66,103084,842,1
56,76684,686,1
54,45420,681,1
50,49186,757,1
54,56441,660,1
50,100837,697,1
53,75855,722,1
62,109893,799,1
61,43743,703,1
46,90845,842,1
50,93705,842,1
52,79258,655,1
51,58493,765,1
50,74122,695,1
70,63857,847,1
64,108571,653,1
63,111004,750,1
66,64367,766,1
60,87942,781,1
42,114323,670,1
55,88787,711,1
66,47055,737,1
52,104978,831,1
64,81811,660,1
62,59433,740,1
57,113956,712,1
49,103333,766,1
66,64874,849,1
43,68797,680,1
46,47111,734,1
59,102497,828,1
63,108950,661,1
59,111785,729,1
49,74630,749,1
56,75751,734,1
59,87967,779,1
64,62264,762,1
54,112994,736,1
65,103030,840,1
51,58338,757,1
49,103899,821,1
55,105886,785,1
47,92296,806,1
54,88942,720,1
41,82482,730,1
53,48723,752,1
61,61452,781,1
47,101376,740,1
47,91711,842,1
54,75727,731,1
56,88705,797,1
44,73335,773,1
49,100858,698,1
40,82901,739,1
66,64673,816,1
52,78983,658,1
62,56222,778,1
49,101260,708,1
48,88678,745,1
61,64040,792,1
54,113040,740,1
53,58742,758,1
55,89731,752,1
59,59974,718,1
55,113517,732,1
66,64857,846,1
45,84472,755,1
50,103003,817,1
59,78720,675,1
56,59711,725,1
50,74463,693,1
63,81357,664,1
54,63576,830,1
59,47942,745,1
47,74334,750,1
59,60664,666,1
65,64033,757,1
60,60772,681,1
62,62145,706,1
40,69596,793,1
53,75630,689,1
60,65959,841,1
42,71045,715,1
51,58520,763,1
50,46274,738,1
55,75605,739,1
59,112795,726,1
42,68960,703,1
46,74502,740,1
54,113122,747,1
42,89144,730,1
48,74035,702,1
58,44920,744,1
53,75917,719,1
53,86456,769,1
56,61961,777,1
47,74130,763,1
64,65214,834,1
54,45140,715,1
61,61391,779,1
51,87411,719,1
41,71232,798,1
49,101438,713,1
68,100655,832,1
55,112986,708,1
55,45274,698,1
63,64192,780,1
60,111408,740,1
66,64243,785,1
54,63590,835,1
67,62911,796,1
42,73549,752,1
56,47082,735,1
59,100413,766,1
53,56787,677,1
48,103055,796,1
50,101683,758,1
55,76657,687,1
47,101321,736,1
46,74122,760,1
45,72330,744,1
54,76286,703,1
54,102090,782,1
47,73181,721,1
60,59901,721,1
55,88622,724,1
54,91353,827,1
56,80235,656,1
52,75812,722,1
55,59509,732,1
58,88249,755,1
62,62132,706,1
56,113838,711,1
48,74174,763,1
58,111145,757,1
50,104333,825,1
43,73660,753,1
47,113003,708,1
55,47084,735,1
60,107484,706,1
55,45342,742,1
62,62516,716,1
59,59286,724,1
62,103521,839,1
64,47196,738,1
66,64827,848,1
55,100860,774,1
55,45236,703,1
41,70572,806,1
59,111907,750,1
51,92025,797,1
59,80821,736,1
60,63980,797,1
56,58618,689,1
67,64466,848,1
42,73535,758,1
54,79717,655,1
46,74098,751,1
49,74908,735,1
54,63126,812,1
50,85606,763,1
54,88794,711,1
60,61756,789,1
42,82259,724,1
63,102683,816,1
66,64699,820,1
62,110279,781,1
63,81852,662,1
60,59841,702,1
57,111635,772,1
51,67219,710,1
52,100751,711,1
62,110036,792,1
53,59102,729,1
53,59086,730,1
43,73666,753,1
57,57880,698,1
48,102719,757,1
50,104174,799,1
51,103293,777,1
51,45840,722,1
44,73666,769,1
43,89386,739,1
52,75654,724,1
47,88962,719,1
59,87957,780,1
56,76145,713,1
58,60037,715,1
45,73960,752,1
51,104696,828,1
50,46212,705,1
53,92049,830,1
59,60354,664,1
60,82005,672,1
61,55118,793,1
55,59147,763,1
66,64287,778,1
51,101798,765,1
52,104882,830,1
57,77364,682,1
46,74613,729,1
54,89094,805,1
56,113871,715,1
53,103267,785,1
67,63215,812,1
54,47086,735,1
55,75575,742,1
47,101412,746,1
48,102420,753,1
61,81215,658,1
48,46531,715,1
57,44537,692,1
61,102647,831,1
51,92898,836,1
62,109258,728,1
58,46099,704,1
45,74015,751,1
48,86282,726,1
47,73933,726,1
56,58543,688,1
53,90649,760,1
60,109951,671,1
61,59523,731,1
60,60435,697,1
53,103272,784,1
41,69273,747,1
40,70984,795,1
59,60355,664,1
53,75861,721,1
61,59637,721,1
59,112877,725,1
52,92584,834,1
63,103121,830,1
66,64784,848,1
65,46412,730,1
69,63838,846,1
55,89200,729,1
62,54695,790,1
55,75496,745,1
54,76654,718,1
54,88787,711,1
69,63909,838,1
56,66245,729,1
62,81919,667,1
54,91395,825,1
47,101381,741,1
52,75379,690,1
52,75847,709,1
63,60541,740,1
58,113124,722,1
44,71402,728,1
49,74812,744,1
44,89455,742,1
52,90930,805,1
50,74203,694,1
50,75222,735,1
68,100638,832,1
58,88856,792,1
62,62232,708,1
47,92350,808,1
51,101619,786,1
47,46817,731,1
50,46255,707,1
56,113867,711,1
61,81220,705,1
59,103185,811,1
63,62879,726,1
58,58073,703,1
58,102069,776,1
58,55430,735,1
53,91871,829,1
61,61609,692,1
54,56279,672,1
49,48897,753,1
54,88800,711,1
49,103160,771,1
57,100734,782,1
57,102339,824,1
52,113002,699,1
44,113850,683,1
58,88802,790,1
63,108906,690,1
61,60439,699,1
63,60445,759,1
54,56468,660,1
40,69557,788,1
50,103956,790,1
66,64329,771,1
47,91641,842,1
65,46976,734,1
52,58858,753,1
53,46067,694,1
55,76454,723,1
60,60388,678,1
44,82895,730,1
49,103057,774,1
61,109651,675,1
58,44357,694,1
63,60563,749,1
42,69099,723,1
66,64665,814,1
41,72297,773,1
56,76047,718,1
53,50735,768,1
49,103082,759,1
54,75647,736,1
57,44514,692,1
58,103193,808,1
58,44451,693,1
63,110139,715,1
61,100345,777,1
68,64095,809,1
54,45308,682,1
47,101247,730,1
49,102191,734,1
59,79240,686,1
43,71207,775,1
50,80819,787,1
61,111908,738,1
62,59625,743,1
54,56804,669,1
57,101950,768,1
43,89536,755,1
48,101141,721,1
49,103327,765,1
43,72698,781,1
67,64217,789,1
54,79823,656,1
52,78723,668,1
44,113983,677,1
54,76590,719,1
49,46275,707,1
62,102782,834,1
62,111225,750,1
50,89891,781,1
63,110082,713,1
57,57808,696,1
54,47030,735,1
62,57027,768,1
58,111993,750,1
50,102574,790,1
48,48337,747,1
62,59696,744,1
42,114302,670,1
52,103109,820,1
57,111737,771,1
64,61803,784,1
52,45760,721,1
59,60237,719,1
42,89068,725,1
55,57716,677,1
66,64251,784,1
59,101082,820,1
61,47668,742,1
59,111642,733,1
67,100147,822,1
47,90558,823,1
66,64315,774,1
51,57967,738,1
43,89563,757,1
48,86482,724,1
57,87449,777,1
42,89223,735,1
53,89219,738,1
63,60580,756,1
55,112161,722,1
41,72626,768,1
50,102779,783,1
51,58557,763,1
50,74230,698,1
50,100943,709,1
52,50049,763,1
48,101249,748,1
63,102873,829,1
53,101367,731,1
55,75577,742,1
61,80701,671,1
57,113476,718,1
61,81199,707,1
60,107451,708,1
51,93182,838,1
52,77189,695,1
60,59776,708,1
48,74005,714,1
61,60155,760,1
63,64188,780,1
51,45776,721,1
41,83771,741,1
58,46097,704,1
56,45193,743,1
42,73117,748,1
56,61730,768,1
57,44613,691,1
49,100880,700,1
59,102156,782,1
49,103843,821,1
57,113601,719,1
44,114032,689,1
56,56848,778,1
52,78639,670,1
46,47053,732,1
57,62610,811,1
51,102180,802,1
60,60005,760,1
45,90456,816,1
49,104054,823,1
57,48152,747,1
55,75530,745,1
50,89900,781,1
47,92111,842,1
48,73513,711,1
56,52082,778,1
53,58666,760,1
48,92848,842,1
48,48542,749,1
45,90917,772,1
56,44704,690,1
57,110779,773,1
52,57776,728,1
47,73908,730,1
54,102012,778,1
67,101182,834,1
54,113285,743,1
61,46380,713,1
61,81269,702,1
54,59091,763,1
45,91264,780,1
59,111775,729,1
50,91115,834,1
50,101343,754,1
47,74374,750,1
66,100166,820,1
58,89100,796,1
40,70083,806,1
57,59883,684,1
61,47635,742,1
64,60973,759,1
51,75034,709,1
55,112919,707,1
61,59413,740,1
63,102887,837,1
54,75250,747,1
58,44427,694,1
54,112882,726,1
49,104102,823,1
47,90441,816,1
48,48159,745,1
51,101443,766,1
62,110269,782,1
46,74501,740,1
42,83667,749,1
54,46773,733,1
51,101571,780,1
53,75124,747,1
62,109878,797,1
55,90367,780,1
69,63955,831,1
50,49045,754,1
52,102029,814,1
51,48580,755,1
55,113479,734,1
62,64437,844,1
52,79034,657,1
62,57660,761,1
60,110966,776,1
52,78867,659,1
40,69636,799,1
55,112456,712,1
61,64393,844,1
51,93024,837,1
50,93499,840,1
47,114185,685,1
54,112988,735,1
59,88548,788,1
62,60433,741,1
54,91328,822,1
57,44980,734,1
53,88334,762,1
55,57117,678,1
46,113898,699,1
59,60189,703,1
49,104062,823,1
42,89124,728,1
61,102706,819,1
43,73844,746,1
49,88585,749,1
51,101884,813,1
59,44350,725,1
69,63949,832,1
58,78923,690,1
54,77938,670,1
59,59975,718,1
49,103475,782,1
56,48328,748,1
57,63598,837,1
55,59235,762,1
56,58011,681,1
49,103137,772,1
52,58105,768,1
60,111667,750,1
60,111528,736,1
40,69584,791,1
49,103554,791,1
62,110098,789,1
58,111282,752,1
63,60445,759,1
61,64026,793,1
58,57944,700,1
47,47691,740,1
59,88032,773,1
53,104712,832,1
53,78272,678,1
55,105935,783,1
59,59181,746,1
51,101600,783,1
51,101482,770,1
61,45960,741,1
58,111284,778,1
51,104711,820,1
57,59052,750,1
47,73121,722,1
60,59856,723,1
51,101495,771,1
47,101439,744,1
68,63253,830,1
54,112959,750,1
47,46723,721,1
42,73521,749,1
60,60912,688,1
50,82550,707,1
54,91602,827,1
56,90442,813,1
61,100343,778,1
59,88234,784,1
50,103985,791,1
49,103218,762,1
62,81466,659,1
59,44335,724,1
60,102621,814,1
56,59000,751,1
62,109678,775,1
54,75228,749,1
62,47063,736,1
62,109833,792,1
60,53762,791,1
60,59889,721,1
52,75336,690,1
48,46528,715,1
51,91210,831,1
58,59722,761,1
47,102087,763,1
45,90937,772,1
48,92390,842,1
55,75415,742,1
58,60426,720,1
46,47103,733,1
42,73554,752,1
59,60167,711,1
62,54789,783,1
68,64176,847,1
51,48358,754,1
54,63406,828,1
63,64591,846,1
57,63943,839,1
53,45498,719,1
60,43888,701,1
55,91298,821,1
50,48276,738,1
59,107273,717,1
64,46256,728,1
56,113598,710,1
62,59851,746,1
47,101378,741,1
49,74059,700,1
59,107301,715,1
56,88527,732,1
41,83057,740,1
42,69112,724,1
49,93500,836,1
66,64665,814,1
61,59433,739,1
